Product Name,Price,Available,No. Units,Store,Time,Link
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 18:07:01.483957,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 TUF Gaming Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,199.99",False,0,Micro Center,2025-02-08 18:07:01.548963,https://www.microcenter.com/product/690037/asus-nvidia-geforce-rtx-5090-tuf-gaming-triple-fan-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,349.99",False,0,Micro Center,2025-02-08 18:07:01.613968,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
ASUS NVIDIA GeForce RTX 5090 Astral LC Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 18:07:01.676972,https://www.microcenter.com/product/690499/asus-nvidia-geforce-rtx-5090-astral-lc-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,249.99",False,0,Micro Center,2025-02-08 18:07:01.739976,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
Gigabyte NVIDIA GeForce RTX 5090 XTREME WATERFORCE Overclocked Liquid Cooled 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,559.99",False,0,Micro Center,2025-02-08 18:07:01.801981,https://www.microcenter.com/product/690625/gigabyte-nvidia-geforce-rtx-5090-xtreme-waterforce-overclocked-liquid-cooled-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 18:07:01.867987,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
MSI NVIDIA GeForce RTX 5090 VANGUARD SOC LAUNCH EDITION Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,749.99",False,0,Micro Center,2025-02-08 18:07:01.943993,https://www.microcenter.com/product/690490/msi-nvidia-geforce-rtx-5090-vanguard-soc-launch-edition-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,499.99",False,0,Micro Center,2025-02-08 18:07:02.036999,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
Zotac NVIDIA GeForce RTX 5090 AMP Extreme Infinity Overclocked Triple Fan 32GB GDDR7 PCIe 5.0 Graphics Card,"$2,669.99",False,0,Micro Center,2025-02-08 18:07:02.148008,https://www.microcenter.com/product/690693/zotac-nvidia-geforce-rtx-5090-amp-extreme-infinity-overclocked-triple-fan-32gb-gddr7-pcie-50-graphics-card
